date,SPY,WMT,JPM
1969-12-11,,,0.004425
1969-12-12,,,0.013216
1969-12-15,,,-0.006522
1969-12-16,,,-0.002188
1969-12-17,,,0.004386
1969-12-18,,,0.0131
1969-12-19,,,0.012931
1969-12-22,,,-0.004255
1969-12-23,,,-0.017094
1969-12-24,,,0.01087
1969-12-26,,,0.015054
1969-12-29,,,0.008475
1969-12-30,,,0.006303
1969-12-31,,,0.002088
1970-01-02,,,-0.00625
1970-01-05,,,0.0
1970-01-06,,,0.010482
1970-01-07,,,0.024896
1970-01-08,,,-0.004049
1970-01-09,,,-0.022358
1970-01-12,,,0.018711
1970-01-13,,,-0.002041
1970-01-14,,,0.006135
1970-01-15,,,0.002033
1970-01-16,,,-0.022312
1970-01-19,,,0.004149
1970-01-20,,,0.004132
1970-01-21,,,-0.012346
1970-01-22,,,0.0
1970-01-23,,,0.008333
1970-01-26,,,-0.014463
1970-01-27,,,-0.004193
1970-01-28,,,-0.014737
1970-01-29,,,-0.042735
1970-01-30,,,0.015625
1970-02-02,,,-0.006593
1970-02-03,,,0.017699
1970-02-04,,,0.0
1970-02-05,,,0.004348
1970-02-06,,,0.0
1970-02-09,,,0.028139
1970-02-10,,,-0.006316
1970-02-11,,,0.029661
1970-02-12,,,-0.004115
1970-02-13,,,0.016529
1970-02-16,,,0.00813
1970-02-17,,,0.010081
1970-02-18,,,0.013972
1970-02-19,,,0.007874
1970-02-20,,,0.007813
1970-02-24,,,-0.003876
1970-02-25,,,0.015564
1970-02-26,,,-0.009579
1970-02-27,,,0.011605
1970-03-02,,,0.001912
1970-03-03,,,0.013359
1970-03-04,,,0.003766
1970-03-05,,,0.013133
1970-03-06,,,-0.007407
1970-03-09,,,-0.016418
1970-03-10,,,-0.003831
1970-03-11,,,0.003846
1970-03-12,,,0.0
1970-03-13,,,-0.003831
1970-03-16,,,-0.007692
1970-03-17,,,-0.015504
1970-03-18,,,0.005906
1970-03-19,,,-0.001957
1970-03-20,,,-0.015686
1970-03-23,,,0.0
1970-03-24,,,0.01992
1970-03-25,,,0.009766
1970-03-26,,,0.005803
1970-03-30,,,-0.013462
1970-03-31,,,0.007797
1970-04-01,,,0.0
1970-04-02,,,0.005803
1970-04-03,,,0.003846
1970-04-06,,,0.0
1970-04-07,,,-0.011494
1970-04-08,,,0.001938
1970-04-09,,,0.0
1970-04-10,,,-0.017408
1970-04-13,,,-0.011811
1970-04-14,,,0.0
1970-04-15,,,0.003984
1970-04-16,,,-0.001984
1970-04-17,,,-0.005964
1970-04-20,,,-0.01
1970-04-21,,,0.00202
1970-04-22,,,0.0
1970-04-23,,,-0.016129
1970-04-24,,,-0.018443
1970-04-27,,,-0.022965
1970-04-28,,,-0.025641
1970-04-29,,,0.015351
1970-04-30,,,-0.010799
1970-05-01,,,0.0
1970-05-04,,,-0.004367
1970-05-05,,,0.0
1970-05-06,,,0.0
1970-05-07,,,0.010965
1970-05-08,,,-0.017354
1970-05-11,,,-0.006623
1970-05-12,,,-0.004444
1970-05-13,,,-0.026786
1970-05-14,,,-0.018349
1970-05-15,,,-0.023365
1970-05-18,,,-0.004785
1970-05-19,,,-0.014423
1970-05-20,,,-0.014634
1970-05-21,,,-0.034654
1970-05-22,,,-0.020513
1970-05-25,,,-0.036649
1970-05-26,,,0.005435
1970-05-27,,,0.043243
1970-05-28,,,0.046632
1970-05-29,,,0.039604
1970-06-01,,,0.064286
1970-06-02,,,-0.01566
1970-06-03,,,0.006818
1970-06-04,,,-0.015801
1970-06-05,,,-0.027523
1970-06-08,,,0.007075
1970-06-09,,,0.000468
1970-06-10,,,-0.00237
1970-06-11,,,-0.002375
1970-06-12,,,0.004762
1970-06-15,,,0.011848
1970-06-16,,,0.009368
1970-06-17,,,0.009281
1970-06-18,,,0.027586
1970-06-19,,,0.011186
1970-06-22,,,-0.026549
1970-06-23,,,-0.040909
1970-06-24,,,0.018957
1970-06-25,,,0.013954
1970-06-26,,,0.018349
1970-06-29,,,0.009009
1970-06-30,,,0.002232
1970-07-01,,,-0.006682
1970-07-02,,,-0.008969
1970-07-06,,,-0.022624
1970-07-07,,,-0.006944
1970-07-08,,,0.011655
1970-07-09,,,0.011521
1970-07-10,,,0.002278
1970-07-13,,,-0.009091
1970-07-14,,,-0.009174
1970-07-15,,,0.006944
1970-07-16,,,0.002299
1970-07-17,,,0.03211
1970-07-20,,,0.0
1970-07-21,,,0.008889
1970-07-22,,,0.002203
1970-07-23,,,0.024176
1970-07-24,,,0.025751
1970-07-27,,,0.004184
1970-07-28,,,0.0
1970-07-29,,,0.008333
1970-07-30,,,-0.002066
1970-07-31,,,-0.014493
1970-08-03,,,-0.002101
1970-08-04,,,-0.018947
1970-08-05,,,-0.004292
1970-08-06,,,0.012931
1970-08-07,,,-0.021277
1970-08-10,,,-0.021739
1970-08-11,,,0.022222
1970-08-12,,,0.002174
1970-08-13,,,-0.030369
1970-08-14,,,0.006711
1970-08-17,,,0.008889
1970-08-18,,,0.028634
1970-08-19,,,0.014989
1970-08-20,,,-0.004219
1970-08-21,,,0.008475
1970-08-24,,,0.021008
1970-08-25,,,0.002058
1970-08-26,,,-0.00616
1970-08-27,,,0.004132
1970-08-28,,,0.0
1970-08-31,,,-0.004115
1970-09-01,,,0.0
1970-09-02,,,0.008264
1970-09-03,,,-0.008197
1970-09-04,,,-0.002066
1970-09-08,,,-0.00207
1970-09-09,,,0.014938
1970-09-10,,,0.0
1970-09-11,,,0.012397
1970-09-14,,,-0.008163
1970-09-15,,,-0.004115
1970-09-16,,,0.012397
1970-09-17,,,0.006122
1970-09-18,,,-0.006085
1970-09-21,,,-0.008163
1970-09-22,,,0.002058
1970-09-23,,,-0.014374
1970-09-24,,,-0.0125
1970-09-25,,,-0.004219
1970-09-28,,,0.014831
1970-09-29,,,-0.010438
1970-09-30,,,0.006329
1970-10-01,,,0.002096
1970-10-02,,,0.0
1970-10-05,,,0.0
1970-10-06,,,0.018829
1970-10-07,,,-0.004107
1970-10-08,,,-0.004124
1970-10-09,,,-0.008282
1970-10-12,,,-0.006263
1970-10-13,,,-0.008403
1970-10-14,,,-0.002119
1970-10-15,,,0.006369
1970-10-16,,,-0.006329
