date,P,D
1985-08-14,9.8125,0.0
1985-08-15,9.75,0.0
1985-08-16,9.75,0.0
1985-08-19,9.3125,0.0
1985-08-20,9.375,0.0
1985-08-21,10.75,0.0
1985-08-22,10.75,0.0
1985-08-23,10.625,0.0
1985-08-26,10.625,0.0
1985-08-27,10.5625,0.0
1985-08-28,10.5,0.0
1985-08-29,10.5,0.0
1985-08-30,10.5625,0.0
1985-09-03,10.125,0.0
1985-09-04,9.875,0.0
1985-09-05,9.875,0.0
1985-09-06,10.0,0.0
1985-09-09,9.875,0.0
1985-09-10,9.75,0.0
1985-09-11,9.5,0.0
1985-09-12,8.875,0.0
1985-09-13,8.75,0.0
1985-09-16,8.75,0.0
1985-09-17,9.125,0.0
1985-09-18,9.375,0.0
1985-09-19,9.375,0.0
1985-09-20,9.125,0.0
1985-09-23,9.0,0.0
1985-09-24,8.5,0.0
1985-09-25,8.375,0.0
1985-09-26,8.375,0.0
1985-09-30,7.75,0.0
1985-10-01,8.125,0.0
1985-10-02,7.875,0.0
1985-10-03,8.75,0.0
1985-10-04,9.125,0.0
1985-10-07,9.375,0.0
1985-10-08,9.25,0.0
1985-10-09,9.625,0.0
1985-10-10,10.125,0.0
1985-10-11,10.125,0.0
1985-10-14,10.625,0.0
1985-10-15,10.125,0.0
1985-10-16,10.375,0.0
1985-10-17,10.375,0.0
1985-10-18,10.375,0.0
1985-10-21,10.125,0.0
1985-10-22,10.375,0.0
1985-10-23,10.125,0.0
1985-10-24,10.25,0.0
1985-10-25,10.25,0.0
1985-10-28,10.25,0.0
1985-10-29,10.25,0.0
1985-10-30,10.25,0.0
1985-10-31,9.625,0.0
1985-11-01,9.875,0.0
1985-11-04,9.875,0.0
1985-11-05,9.625,0.0
1985-11-06,9.75,0.0
1985-11-07,9.5,0.0
1985-11-08,9.625,0.0
1985-11-11,9.875,0.0
1985-11-12,9.875,0.0
1985-11-13,9.5,0.0
1985-11-14,9.75,0.0
1985-11-15,9.75,0.0
1985-11-18,9.75,0.0
1985-11-19,9.625,0.0
1985-11-20,9.75,0.0
1985-11-21,9.75,0.0
1985-11-22,9.5,0.0
1985-11-25,9.375,0.0
1985-11-26,9.875,0.0
1985-11-27,10.0,0.0
1985-11-29,10.0,0.0
1985-12-02,9.75,0.0
1985-12-03,9.5,0.0
1985-12-04,9.75,0.0
1985-12-05,9.625,0.0
1985-12-06,9.625,0.0
1985-12-09,9.125,0.0
1985-12-10,9.125,0.0
1985-12-11,9.375,0.0
1985-12-12,9.625,0.0
1985-12-13,9.625,0.0
1985-12-16,9.75,0.0
1985-12-17,10.0,0.0
1985-12-18,10.0,0.0
1985-12-19,9.75,0.0
1985-12-20,9.5,0.0
1985-12-23,9.75,0.0
1985-12-24,9.875,0.0
1985-12-26,10.0,0.0
1985-12-27,10.0,0.0
1985-12-30,10.25,0.0
1985-12-31,10.25,0.0
1986-01-02,9.875,0.0
1986-01-03,9.75,0.0
1986-01-06,10.0,0.0
1986-01-07,10.625,0.0
1986-01-08,10.625,0.0
1986-01-09,10.375,0.0
1986-01-10,10.375,0.0
1986-01-13,10.5,0.0
1986-01-14,10.375,0.0
1986-01-15,11.375,0.0
1986-01-16,11.125,0.0
1986-01-17,11.125,0.0
1986-01-20,11.375,0.0
1986-01-21,11.25,0.0
1986-01-22,11.125,0.0
1986-01-23,11.0,0.0
1986-01-24,11.25,0.0
1986-01-27,11.25,0.0
1986-01-28,11.25,0.0
1986-01-29,11.5,0.0
1986-01-30,12.0,0.0
1986-01-31,12.75,0.0
1986-02-03,13.0,0.0
1986-02-04,13.0,0.0
1986-02-05,13.125,0.0
1986-02-06,14.0,0.0
1986-02-07,13.875,0.0
1986-02-10,13.875,0.0
1986-02-11,13.75,0.0
1986-02-12,13.625,0.0
1986-02-13,13.5,0.0
1986-02-14,13.5,0.0
1986-02-18,13.75,0.0
1986-02-19,13.75,0.0
1986-02-20,13.375,0.0
1986-02-21,13.0,0.0
